"id","author","year","title","category","stock","price","rating"
"ZYL8GcCIs9EE36eCeFAD","Jonathan Vaughan",1952,"Defense chance","stem",10,201.64,5
"LEcNQlV5ugewXBc1gtiz","Brian Combs",1970,"Surface seem you","non-fiction",14,82.47,5
"M9K0cbMnxnaoAG5hQviW","Ray Torres",1960,"Eat interview","non-fiction",1,286.11,3
"Wy3BGQuQ4LFi888JdjDI","Joseph Young",2013,"Recognize agency","biography",9,289.49,2
"3tEYfOfMNi7BJZFXwis4","Robert Herrera",2015,"Personal example","fiction",18,103.17,5
"EacNcOWiCdpqr2Tk1Rxt","Abigail Green",1937,"Try likely discuss","non-fiction",1,84.47,3
"xv97ukPPgCeo3HDRw1eC","Carolyn Wade",1959,"Care kid blood film","stem",14,46.96,3
"DWe7pBUOTsn0ANyZH4y4","James Hodge",1978,"My fly itself teach","fiction",20,252.57,1
"mYo1gHwtcA1HIMqSeCYm","Jonathan Vaughan",1982,"Onto drive many car","biography",12,47.71,4
"vDcJlpC8E8cIAVuEPQiS","Jeremy Murphy",1982,"Account man focus","biography",16,155.69,3
"1INSHwY0ak3VWMGOFLPi","Abigail Green",1959,"Friend kid fill","stem",18,185.82,4
"uj4RWtyuJ9rO8XBhjy3U","Jeremy Murphy",1963,"Join within month","biography",11,88.37,5
"c6wUIa9VGT7kto2cQCM9","Joseph Young",1965,"Apply chair later","non-fiction",18,20.1,2
"cFeq0hD9KuESVqf1M30B","Leah Kerr",1920,"Stand respond value","biography",18,36.7,1
"KPnaOMbtJYpmwYF7k1hf","David Winters",1998,"Reach firm","biography",12,200.99,2
"xNfI1k7ZV0tj6kd8YmwI","Derek Wilson",1987,"Around institution","stem",4,86.12,5
"uHQICu5lqFupRY43aVXg","Jeremy Murphy",1930,"Race product","biography",6,60.08,5
"tPYrGyAaP8vJ73WlyQs3","Abigail Green",1971,"Need never economic","fiction",16,290.89,1
"3n2DfXWq6MqYuAKLB5BL","Zachary Jacobson",1975,"Success candidate","non-fiction",2,145.87,4
"BvfzMgV1fY1UBPRIYwmD","David Winters",1940,"Mother when half","stem",20,129.97,4
"X24eapkpTJuDmooPYEIb","Carolyn Wade",1907,"Mind science","stem",0,263.57,3
"hRwc2jHKszhxfafaELuR","David Winters",1919,"Oil response close","biography",17,131.84,2
"RWepHTcw2I7z7Knj6CfL","Jeremy Murphy",2003,"White some audience","non-fiction",7,70.38,2
"q7iSr2CczrWAbO73wV8C","Veronica Williams",1941,"This capital","non-fiction",16,173.49,3
"qJwxmVUooQuIpvVfD23R","Derek Wilson",1921,"May cold remain","self-help",20,261.36,3
"aTdAeiadcyahtETARsBE","Brian Myers",2018,"As arm bag will","biography",7,56.73,1
"F1ZJ4MMFfqAvM3dQTFX6","Derek Wilson",2007,"Seek health your","self-help",20,203.15,1
"XTWfzB5fleqKQYhpDNhq","Elizabeth Mack",1914,"Effect difference","fiction",7,149.39,3
"uoggqpsJdqP41L9OWqLp","Tracie David",1995,"Image budget son","self-help",6,104.73,4
"NjtayUuXFRtu14kgtViD","Robert Herrera",1951,"Statement claim","biography",18,232.0,1
